country_name,country_code,GDP
Italy,ITA,1.83E+12
Jamaica,JAM,14186886643
Japan,JPN,4.38E+12
Jordan,JOR,37517410282
Kazakhstan,KAZ,1.84E+11
Kenya,KEN,63767539357
Kiribati,KIR,169140538.7
"Korea, Dem. PeopleÍs Rep.",PRK,..
"Korea, Rep.",KOR,1.38E+12
Kosovo,XKX,6440501275
Kuwait,KWT,1.15E+11
Kyrgyz Republic,KGZ,6678178340
Lao PDR,LAO,14390395150
Latvia,LVA,27009231911
Lebanon,LBN,49459296463
Lesotho,LSO,2505886025
Liberia,LBR,2034000000
Libya,LBY,..
Liechtenstein,LIE,6289165410
Lithuania,LTU,41402022148
Luxembourg,LUX,57784495265
"Macao SAR, China",MAC,45415278647
"Macedonia, FYR",MKD,10051659161
Madagascar,MDG,9744243420
Malawi,MWI,6373201160
Malaysia,MYS,2.96E+11
Maldives,MDV,4006531188
Mali,MLI,13100058100
Malta,MLT,10285547954
Marshall Islands,MHL,179697900
Mauritania,MRT,4844223107
Mauritius,MUS,11692287066
Mexico,MEX,1.15E+12
"Micronesia, Fed. Sts.",FSM,315179700
Moldova,MDA,6512899540
Monaco,MCO,..
Mongolia,MNG,11749620620
Montenegro,MNE,4052913386
Morocco,MAR,1.01E+11
Mozambique,MOZ,14798439527
Myanmar,MMR,59687373958
Namibia,NAM,11571141027
Nauru,NRU,100459782.6
Nepal,NPL,21410840909
Netherlands,NLD,7.58E+11
New Caledonia,NCL,..
New Zealand,NZL,1.76E+11
Nicaragua,NIC,12747741540
Niger,NER,7217666361
Nigeria,NGA,4.81E+11
Northern Mariana Islands,MNP,933000000
Norway,NOR,3.87E+11
Oman,OMN,69831770871
Pakistan,PAK,2.71E+11
Palau,PLW,297645400
Panama,PAN,52132289700
Papua New Guinea,PNG,21060901604
Paraguay,PRY,27282581336
Peru,PER,1.89E+11
Philippines,PHL,2.93E+11
Poland,POL,4.77E+11
Portugal,PRT,1.99E+11
Puerto Rico,PRI,..
Qatar,QAT,1.65E+11
Romania,ROU,1.78E+11
Russian Federation,RUS,1.37E+12
Rwanda,RWA,8261034258
Samoa,WSM,803985809.2
San Marino,SMR,1569258068
Sao Tome and Principe,STP,315880811.1
Saudi Arabia,SAU,6.52E+11
Senegal,SEN,13640668374
Serbia,SRB,37160332465
Seychelles,SYC,1437722206
Sierra Leone,SLE,4251869870
Singapore,SGP,2.97E+11
Sint Maarten (Dutch part),SXM,..
Slovak Republic,SVK,87501423882
Slovenia,SVN,43072415017
Solomon Islands,SLB,1129164719
Somalia,SOM,5925000000
South Africa,ZAF,3.18E+11
South Sudan,SSD,9015221096
Spain,ESP,1.20E+12
Sri Lanka,LKA,80611989527
St. Kitts and Nevis,KNA,878281507.8
St. Lucia,LCA,1649142630
St. Martin (French part),MAF,..
St. Vincent and the Grenadines,VCT,755205755.9
Sudan,SDN,97156119150
Suriname,SUR,4826587058
Swaziland,SWZ,4020275298
Sweden,SWE,4.98E+11
Switzerland,CHE,6.79E+11
Syrian Arab Republic,SYR,..
Tajikistan,TJK,7853450374
Tanzania,TZA,45628320606
Thailand,THA,3.99E+11
Timor-Leste,TLS,1606500000
Togo,TGO,4087628276
Tonga,TON,435438217.3
Trinidad and Tobago,TTO,23559224762
Tunisia,TUN,43156708809
Turkey,TUR,8.60E+11
Turkmenistan,TKM,35799628571
Turks and Caicos Islands,TCA,..
Tuvalu,TUV,32673277.74
Uganda,UGA,27059447775
Ukraine,UKR,91030959455
United Arab Emirates,ARE,3.58E+11
United Kingdom,GBR,2.89E+12
United States,USA,1.81E+13
Uruguay,URY,53274304215
Uzbekistan,UZB,66903804143
Vanuatu,VUT,742432131
"Venezuela, RB",VEN,..
Vietnam,VNM,1.93E+11
Virgin Islands (U.S.),VIR,3765000000
West Bank and Gaza,PSE,12673000000
"Yemen, Rep.",YEM,37733919936
Zambia,ZMB,21154394546
Zimbabwe,ZWE,16304667807
